PID,query,topic,Specificity Level,Reason,topic_familiarity_x,topic_interest_x,topic_difficulty_x,info_revelance_x,info_difficulty_x,task_order,Receive,Submit,Unnamed: 0_x,topic_familiarity_y,topic_interest_y,topic_difficulty_y,info_revelance_y,info_difficulty_y,order_x,Input_x,Output_x,Unnamed: 0_y,topic_familiarity,topic_interest,topic_difficulty,info_revelance,info_difficulty,order_y,Input_y,Output_y
PA32,marine vegetation uses,314,2,"The query ""marine vegetation uses"" is moderately specific as it indicates a focus on the applications or purposes of marine vegetation",4.0,4.0,3.0,2.0,2.0,6.0,LISTEN,SPEAK,27.0,4.0,4.0,3.0,2.0,2.0,6.0,LISTEN,TYPE,27.0,4.0,4.0,3.0,2.0,2.0,6.0,LISTEN,TYPE
PA33,What are the positive uses of marine vegetation?,314,2,The query is moderately specific as it asks about the positive uses of marine vegetation,3.0,3.0,2.0,4.0,2.0,12.0,LISTEN,SPEAK,28.0,3.0,3.0,2.0,4.0,2.0,12.0,LISTEN,TYPE,28.0,3.0,3.0,2.0,4.0,2.0,12.0,LISTEN,TYPE
PA4,FLAG companies and technology involved,320,2,"The query is moderately specific as it mentions ""FLAG companies"" and ""technology involved",,,,,,,,,31.0,3.0,4.0,3.0,4.0,3.0,11.0,LISTEN,TYPE,31.0,3.0,4.0,3.0,4.0,3.0,11.0,LISTEN,TYPE
PA10,About undersea fiber cables and FLAG,320,2,"The query is moderately specific because it mentions ""undersea fiber cables",4.0,4.0,2.0,4.0,3.0,1.0,READ,SPEAK,36.0,4.0,4.0,2.0,4.0,3.0,1.0,READ,TYPE,36.0,4.0,4.0,2.0,4.0,3.0,1.0,READ,TYPE
PA12,Which city of India connected with fiber optic via ocean,320,2,The query is moderately specific as it asks for a specific city in India that has a fiber optic connection that involves an oceanic link. While it is clear in its intent,4.0,4.0,3.0,4.0,3.0,6.0,READ,SPEAK,39.0,4.0,4.0,3.0,4.0,3.0,6.0,READ,TYPE,39.0,4.0,4.0,3.0,4.0,3.0,6.0,READ,TYPE
PA13,How long does it take to complete the construction of the undersea fiber optic cable?,320,2,The query asks about the duration of constructing undersea fiber optic cables,4.0,5.0,3.0,2.0,1.0,2.0,LISTEN,SPEAK,40.0,4.0,5.0,3.0,2.0,1.0,2.0,LISTEN,TYPE,40.0,4.0,5.0,3.0,2.0,1.0,2.0,LISTEN,TYPE
PA14,what are the technologies used in undersea fibre optics?,320,2,The query is moderately specific as it focuses on a particular application (undersea fibre optics) but does not detail what aspects of the technologies (e.g.,1.0,4.0,2.0,4.0,2.0,6.0,LISTEN,SPEAK,41.0,1.0,4.0,2.0,4.0,2.0,6.0,LISTEN,TYPE,41.0,1.0,4.0,2.0,4.0,2.0,6.0,LISTEN,TYPE
PA15,What is the technology used in FLAG,320,2,The query asks about the technology used in FLAG,3.0,5.0,1.0,1.0,4.0,2.0,READ,SPEAK,42.0,3.0,5.0,1.0,1.0,4.0,2.0,READ,TYPE,42.0,3.0,5.0,1.0,1.0,4.0,2.0,READ,TYPE
PA16,Tell me more about the making of undersea fiber optic cables,320,2,The query is moderately specific as it seeks detailed information about a particular topic—undersea fiber optic cables. However,3.0,4.0,3.0,4.0,4.0,4.0,LISTEN,SPEAK,43.0,3.0,4.0,3.0,4.0,4.0,4.0,LISTEN,TYPE,43.0,3.0,4.0,3.0,4.0,4.0,4.0,LISTEN,TYPE
PA18,what companies are involved in conducting the Undersea Fiber Optic Cable ?,320,2,The query is moderately specific because it asks for information about companies involved in a particular industry (undersea fiber optic cables),2.0,3.0,2.0,4.0,3.0,12.0,LISTEN,SPEAK,45.0,2.0,3.0,2.0,4.0,3.0,12.0,LISTEN,TYPE,45.0,2.0,3.0,2.0,4.0,3.0,12.0,LISTEN,TYPE
PA19,"how fiber optic company FLAG works under sea, and how much company are there like flag?",320,2,The query is moderately specific as it asks about the functioning of a particular fiber optic company (FLAG) under the sea,4.0,5.0,1.0,5.0,1.0,2.0,LISTEN,SPEAK,46.0,4.0,5.0,1.0,5.0,1.0,2.0,LISTEN,TYPE,46.0,4.0,5.0,1.0,5.0,1.0,2.0,LISTEN,TYPE
PA21,Which technique is required in this undersea optical fiber project?,320,2,The query is moderately specific because it asks about a specific technique required for an undersea optical fiber project,3.0,4.0,2.0,4.0,2.0,11.0,LISTEN,SPEAK,48.0,3.0,4.0,2.0,4.0,2.0,11.0,LISTEN,TYPE,48.0,3.0,4.0,2.0,4.0,2.0,11.0,LISTEN,TYPE
PA23,who are the people laying fiber optics under sea?,320,2,The query is moderately specific as it asks about a particular group of people involved in a specific activity (laying fiber optics under the sea). However,,,,,,,,,50.0,4.0,4.0,2.0,5.0,1.0,7.0,READ,TYPE,50.0,4.0,4.0,2.0,5.0,1.0,7.0,READ,TYPE
PA24,Undersea fiber optic cable technologies and companies involved.,320,2,The query is moderately specific as it references a particular technology (undersea fiber optic cables) and indicates a focus on the companies involved. However,4.0,5.0,5.0,5.0,1.0,12.0,READ,SPEAK,51.0,4.0,5.0,5.0,5.0,1.0,12.0,READ,TYPE,51.0,4.0,5.0,5.0,5.0,1.0,12.0,READ,TYPE
PA2,the science project under way in Artartica,353,2,The query is moderately specific as it mentions a particular location (Antarctica) and the context (science project),,,,,,,,,61.0,1.0,2.0,5.0,4.0,1.0,8.0,READ,SPEAK,61.0,1.0,2.0,5.0,4.0,1.0,8.0,READ,SPEAK
PA7,What scientific expeditions or projects are happening right now in Antarctica?,353,2,The query is moderately specific because it asks about current scientific expeditions or projects in a specific location (Antarctica). However,3.0,5.0,1.0,5.0,1.0,3.0,LISTEN,SPEAK,65.0,3.0,5.0,1.0,5.0,1.0,3.0,LISTEN,TYPE,65.0,3.0,5.0,1.0,5.0,1.0,3.0,LISTEN,TYPE
PA8,Is climate change a heated topic under explorations?,353,1,The query is quite vague and general. It broadly asks about the status of climate change as a topic of exploration without specifying any particular context,4.0,4.0,3.0,5.0,1.0,6.0,READ,SPEAK,66.0,4.0,4.0,3.0,5.0,1.0,6.0,READ,TYPE,66.0,4.0,4.0,3.0,5.0,1.0,6.0,READ,TYPE
PA9,What are the current scientific projects in Antarctica?,353,2,"The query is moderately specific because it refers to ""current scientific projects"" but does not specify the types of projects",3.0,3.0,2.0,5.0,1.0,10.0,LISTEN,SPEAK,67.0,3.0,3.0,2.0,5.0,1.0,10.0,LISTEN,TYPE,67.0,3.0,3.0,2.0,5.0,1.0,10.0,LISTEN,TYPE
PA12,Can common people go to antartica,353,2,The query is moderately specific as it inquires about the possibility for common people to visit Antarctica,4.0,4.0,3.0,3.0,3.0,7.0,LISTEN,SPEAK,71.0,4.0,4.0,3.0,3.0,3.0,7.0,LISTEN,TYPE,71.0,4.0,4.0,3.0,3.0,3.0,7.0,LISTEN,TYPE
PA15,what are scientific projects planned in Antartica,353,2,The query is moderately specific as it indicates a particular location (Antarctica) and focuses on scientific projects,1.0,5.0,2.0,5.0,1.0,5.0,READ,SPEAK,74.0,1.0,5.0,2.0,5.0,1.0,5.0,READ,TYPE,74.0,1.0,5.0,2.0,5.0,1.0,5.0,READ,TYPE
PA16,What do scientists do in Antarctica,353,1,The query is very general and does not provide specific details about the type of scientists,3.0,4.0,3.0,4.0,1.0,5.0,READ,SPEAK,75.0,3.0,4.0,3.0,4.0,1.0,5.0,READ,TYPE,75.0,3.0,4.0,3.0,4.0,1.0,5.0,READ,TYPE
PA17,What are some of the current and future projects in Antarctica?,353,2,"The query is moderately specific as it asks about ""current and future projects in Antarctica",3.0,4.0,2.0,4.0,2.0,9.0,LISTEN,SPEAK,76.0,3.0,4.0,2.0,4.0,2.0,9.0,LISTEN,TYPE,76.0,3.0,4.0,2.0,4.0,2.0,9.0,LISTEN,TYPE
PA19,what are the current projects going on for antarctica exploration?,353,2,The query seeks information about ongoing projects in a specific region (Antarctica) and context (exploration),5.0,5.0,1.0,4.0,2.0,11.0,LISTEN,SPEAK,78.0,5.0,5.0,1.0,4.0,2.0,11.0,LISTEN,TYPE,78.0,5.0,5.0,1.0,4.0,2.0,11.0,LISTEN,TYPE
PA22,Which type of scientific experiments are conducted in Antarctica?,353,2,The query asks about the types of scientific experiments conducted in Antarctica which indicates a moderate level of specificity. It is not a vague or general question,4.0,4.0,2.0,5.0,1.0,5.0,LISTEN,SPEAK,81.0,4.0,4.0,2.0,5.0,1.0,5.0,LISTEN,TYPE,81.0,4.0,4.0,2.0,5.0,1.0,5.0,LISTEN,TYPE
PA24,"Future, past and present scientific explorations to Antarctica.",353,2,The query refers to scientific explorations in a broad temporal scope (future,1.0,5.0,5.0,5.0,1.0,7.0,READ,SPEAK,83.0,1.0,5.0,5.0,5.0,1.0,7.0,READ,TYPE,83.0,1.0,5.0,5.0,5.0,1.0,7.0,READ,TYPE
PA29,What is antracia exploration?,353,1,"The query ""What is antracia exploration?"" is vague and general because it lacks context",1.0,3.0,4.0,5.0,1.0,2.0,READ,SPEAK,88.0,1.0,3.0,4.0,5.0,1.0,2.0,READ,TYPE,88.0,1.0,3.0,4.0,5.0,1.0,2.0,READ,TYPE
PA31,current and future expeditions in antarctica,353,2,The query is moderately specific as it indicates a focus on expeditions in Antarctica,3.0,4.0,2.0,5.0,1.0,5.0,LISTEN,SPEAK,90.0,3.0,4.0,2.0,5.0,1.0,5.0,LISTEN,TYPE,90.0,3.0,4.0,2.0,5.0,1.0,5.0,LISTEN,TYPE
PA1,ocean satellite data analysis,355,2,"The query ""ocean satellite data analysis"" is moderately specific as it indicates a particular field of study (ocean data) and a method of analysis (satellite data)",,,,,,,,,,,,,,,,,,,,,,,,,,
PA7,What is ocean remote sensing and how is it being used ?,355,2,The query asks for information about ocean remote sensing and its applications,1.0,4.0,1.0,5.0,3.0,2.0,READ,SPEAK,97.0,1.0,4.0,1.0,5.0,3.0,2.0,READ,TYPE,97.0,1.0,4.0,1.0,5.0,3.0,2.0,READ,TYPE
PA11,What's being developed in ocean remote sensing and how is it being used?,355,2,This query is moderately specific as it asks for information about current developments in ocean remote sensing and its applications. While it is focused on a specific field (ocean remote sensing),2.0,3.0,4.0,5.0,2.0,7.0,READ,SPEAK,102.0,2.0,3.0,4.0,5.0,2.0,7.0,READ,TYPE,102.0,2.0,3.0,4.0,5.0,2.0,7.0,READ,TYPE
PA13,How can the satellites monitor the ocean from above? ,355,2,The query is moderately specific as it asks about the function of satellites in monitoring the ocean,2.0,5.0,1.0,5.0,2.0,11.0,READ,SPEAK,104.0,2.0,5.0,1.0,5.0,2.0,11.0,READ,TYPE,104.0,2.0,5.0,1.0,5.0,2.0,11.0,READ,TYPE
PA19,"what we can do with ocean remote sensing, and how to use this?",355,2,The query is moderately specific as it asks about the applications of ocean remote sensing and how to utilize it,3.0,4.0,2.0,4.0,1.0,6.0,LISTEN,SPEAK,110.0,3.0,4.0,2.0,4.0,1.0,6.0,LISTEN,TYPE,110.0,3.0,4.0,2.0,4.0,1.0,6.0,LISTEN,TYPE
PA21,Whta has been developed in ocean remote sensing field?,355,1,The query is quite vague and general as it doesn't specify any particular aspect of ocean remote sensing,2.0,2.0,3.0,4.0,3.0,12.0,READ,SPEAK,112.0,2.0,2.0,3.0,4.0,3.0,12.0,READ,TYPE,112.0,2.0,2.0,3.0,4.0,3.0,12.0,READ,TYPE
PA23,What are the technologies developed in ocean remote sensing?,355,2,The query is moderately specific because it asks for technologies related to a particular field (ocean remote sensing). However,,,,,,,,,114.0,2.0,4.0,2.0,5.0,4.0,12.0,LISTEN,TYPE,114.0,2.0,4.0,2.0,5.0,4.0,12.0,LISTEN,TYPE
PA24,Ocean remote sensing field development and usage history.,355,2,"The query ""Ocean remote sensing field development and usage history"" is moderately specific. It focuses on a defined topic — ocean remote sensing — and implies an interest in both its development and historical usage. However",1.0,4.0,4.0,4.0,4.0,5.0,LISTEN,SPEAK,115.0,1.0,4.0,4.0,4.0,4.0,5.0,LISTEN,TYPE,115.0,1.0,4.0,4.0,4.0,4.0,5.0,LISTEN,TYPE
PA25,What is ocean sensing and how it can be incorperated with environmental well being,355,2,The query asks about ocean sensing and its incorporation with environmental well-being,1.0,1.0,1.0,5.0,3.0,1.0,LISTEN,SPEAK,116.0,1.0,1.0,1.0,5.0,3.0,1.0,LISTEN,TYPE,116.0,1.0,1.0,1.0,5.0,3.0,1.0,LISTEN,TYPE
PA27,How ocean remote sensing works?,355,1,"The query ""How ocean remote sensing works?"" is quite broad and general. It does not specify a particular aspect of ocean remote sensing",4.0,5.0,3.0,4.0,1.0,2.0,LISTEN,SPEAK,118.0,4.0,5.0,3.0,4.0,1.0,2.0,LISTEN,TYPE,118.0,4.0,5.0,3.0,4.0,1.0,2.0,LISTEN,TYPE
PA29,What are the orcian remote sensing methods?,355,1,"The query is vague and general as it uses the term ""orcian"" which is not a recognized or defined term in remote sensing",4.0,4.0,2.0,5.0,2.0,5.0,READ,SPEAK,120.0,4.0,4.0,2.0,5.0,2.0,5.0,READ,TYPE,120.0,4.0,4.0,2.0,5.0,2.0,5.0,READ,TYPE
PA31,satellite ocean remote sensing applications,355,2,"The query ""satellite ocean remote sensing applications"" is moderately specific as it clearly identifies a particular field (ocean remote sensing) and the technology involved (satellite)",2.0,4.0,3.0,5.0,1.0,6.0,LISTEN,SPEAK,122.0,2.0,4.0,3.0,5.0,1.0,6.0,LISTEN,TYPE,122.0,2.0,4.0,3.0,5.0,1.0,6.0,LISTEN,TYPE
PA4,Transport Ship wrecks due to weather,448,2,"The query ""Transport Ship wrecks due to weather"" is moderately specific as it refers to a certain type of event (transport ship wrecks) and a specific cause (weather). However",,,,,,,,,223.0,3.0,3.0,3.0,5.0,2.0,7.0,LISTEN,TYPE,223.0,3.0,3.0,3.0,5.0,2.0,7.0,LISTEN,TYPE
PA6,Recent shipping losses due to weather,448,2,The query is moderately specific as it refers to a particular aspect of shipping—losses due to weather—but it does not specify the time frame,3.0,3.0,1.0,4.0,1.0,8.0,READ,SPEAK,224.0,3.0,3.0,1.0,4.0,1.0,8.0,READ,TYPE,224.0,3.0,3.0,1.0,4.0,1.0,8.0,READ,TYPE
PA7,Instances where ships got lost due to bad or terrible weather?,448,2,"The query is moderately specific as it asks for instances of ships lost specifically due to ""bad or terrible weather",1.0,2.0,3.0,5.0,3.0,6.0,LISTEN,SPEAK,225.0,1.0,2.0,3.0,5.0,3.0,6.0,LISTEN,TYPE,225.0,1.0,2.0,3.0,5.0,3.0,6.0,LISTEN,TYPE
PA8,How does a ship loses its navigation function in sea?,448,2,The query asks about the loss of navigation function in a ship specifically at sea,2.0,3.0,2.0,5.0,1.0,4.0,LISTEN,SPEAK,226.0,2.0,3.0,2.0,5.0,1.0,4.0,LISTEN,TYPE,226.0,2.0,3.0,2.0,5.0,1.0,4.0,LISTEN,TYPE
PA10,cases where weather was the reason of ship loss,448,2,The query is moderately specific as it indicates an interest in a particular topic (ship loss) and its relationship with weather conditions. However,4.0,4.0,2.0,4.0,4.0,10.0,READ,SPEAK,228.0,4.0,4.0,2.0,4.0,4.0,10.0,READ,TYPE,228.0,4.0,4.0,2.0,4.0,4.0,10.0,READ,TYPE
PA11,Is weather the main contributing factor to losing a ship at sea?,448,2,The query is moderately specific because it focuses on the relationship between weather and ship losses at sea. However,2.0,3.0,3.0,5.0,2.0,5.0,READ,SPEAK,230.0,2.0,3.0,3.0,5.0,2.0,5.0,READ,TYPE,230.0,2.0,3.0,3.0,5.0,2.0,5.0,READ,TYPE
PA12,How to find lost ships,448,1,"The query ""How to find lost ships"" is quite general and does not specify any particular context",3.0,3.0,3.0,3.0,2.0,2.0,LISTEN,SPEAK,231.0,3.0,3.0,3.0,3.0,2.0,2.0,LISTEN,TYPE,231.0,3.0,3.0,3.0,3.0,2.0,2.0,LISTEN,TYPE
PA13,How does the bad weathers contribute to the shipping losses?,448,2,The query is moderately specific because it asks about the impact of bad weather on shipping losses,2.0,3.0,2.0,5.0,2.0,10.0,LISTEN,SPEAK,232.0,2.0,3.0,2.0,5.0,2.0,10.0,LISTEN,TYPE,232.0,2.0,3.0,2.0,5.0,2.0,10.0,LISTEN,TYPE
PA14,can the ship survive when there is heavy wind flow?,448,2,The query is moderately specific as it focuses on the ship's ability to survive in the context of heavy wind flow. However,3.0,2.0,2.0,3.0,2.0,8.0,READ,SPEAK,233.0,3.0,2.0,2.0,3.0,2.0,8.0,READ,TYPE,233.0,3.0,2.0,2.0,3.0,2.0,8.0,READ,TYPE
PA20,Find some instances where the weather is the key reason of losing the ship  ,448,2,The query is moderately specific because it asks for examples of situations where weather conditions contributed to the loss of a ship. However,4.0,3.0,3.0,4.0,2.0,9.0,READ,SPEAK,239.0,4.0,3.0,3.0,4.0,2.0,9.0,READ,TYPE,239.0,4.0,3.0,3.0,4.0,2.0,9.0,READ,TYPE
PA21,Is there any ship loss instances that were mainly caused by bad weather?,448,2,The query is moderately specific because it asks about ship loss instances related to bad weather,1.0,1.0,4.0,4.0,2.0,9.0,READ,SPEAK,240.0,1.0,1.0,4.0,4.0,2.0,9.0,READ,TYPE,240.0,1.0,1.0,4.0,4.0,2.0,9.0,READ,TYPE
PA24,History of ships lost at sea due to weather phenomena.,448,2,The query focuses on a specific aspect of maritime history,2.0,5.0,4.0,5.0,1.0,3.0,LISTEN,SPEAK,243.0,2.0,5.0,4.0,5.0,1.0,3.0,LISTEN,TYPE,243.0,2.0,5.0,4.0,5.0,1.0,3.0,LISTEN,TYPE
PA25,give me some instances that occurred in past for ship losses due to bad weather,448,2,The query asks for specific instances of ship losses linked to bad weather,3.0,4.0,4.0,5.0,1.0,3.0,READ,SPEAK,244.0,3.0,4.0,4.0,5.0,1.0,3.0,READ,TYPE,244.0,3.0,4.0,4.0,5.0,1.0,3.0,READ,TYPE
PA27,How many ships are lost at sea due to bad weather,448,2,The query asks about the number of ships lost at sea specifically due to bad weather,2.0,4.0,3.0,5.0,1.0,4.0,LISTEN,SPEAK,246.0,2.0,4.0,3.0,5.0,1.0,4.0,LISTEN,TYPE,246.0,2.0,4.0,3.0,5.0,1.0,4.0,LISTEN,TYPE
PA28,is weather a main factor for losing a ship at a sea?,448,1,The query is not specific because it asks a broad question about weather as a factor in losing ships at sea without detailing particular types of weather events,3.0,3.0,3.0,4.0,2.0,12.0,LISTEN,SPEAK,247.0,3.0,3.0,3.0,4.0,2.0,12.0,LISTEN,TYPE,247.0,3.0,3.0,3.0,4.0,2.0,12.0,LISTEN,TYPE
PA31,bad weather leading to ship loss at sea,448,2,"The query mentions ""bad weather"" and ""ship loss at sea",4.0,4.0,2.0,5.0,2.0,3.0,LISTEN,SPEAK,250.0,4.0,4.0,2.0,5.0,2.0,3.0,LISTEN,TYPE,250.0,4.0,4.0,2.0,5.0,2.0,3.0,LISTEN,TYPE
PA32,ship losses due to weather,448,2,"The query ""ship losses due to weather"" is moderately specific as it indicates a particular context (ship losses) and a specific cause (weather). However",2.0,3.0,3.0,4.0,4.0,11.0,READ,SPEAK,251.0,2.0,3.0,3.0,4.0,4.0,11.0,READ,TYPE,251.0,2.0,3.0,3.0,4.0,4.0,11.0,READ,TYPE
PA33,How often do ships get lost in storms?,448,2,The query inquires about the frequency of ships getting lost in storms,3.0,3.0,2.0,3.0,2.0,9.0,READ,SPEAK,252.0,3.0,3.0,2.0,3.0,2.0,9.0,READ,TYPE,252.0,3.0,3.0,2.0,3.0,2.0,9.0,READ,TYPE
PA1,slate stone decoration,708,1,"The query ""slate stone decoration"" is not specific as it is quite general and could refer to a wide range of decoration styles",,,,,,,,,,,,,,,,,,,,,,,,,,
PA2,How to obtain decorative stone,708,2,The query is moderately specific as it provides a clear intention of obtaining decorative stone,,,,,,,,,253.0,1.0,2.0,5.0,2.0,4.0,1.0,LISTEN,SPEAK,253.0,1.0,2.0,5.0,2.0,4.0,1.0,LISTEN,SPEAK
PA3,What are the manufacturing process of slate stone? What is its decorative use?,708,2,The query asks about two distinct aspects of slate stone: its manufacturing process and its decorative use. While it is focused on a specific material (slate stone),,,,,,,,,254.0,2.0,5.0,1.0,4.0,1.0,5.0,LISTEN,SPEAK,254.0,2.0,5.0,1.0,4.0,1.0,5.0,LISTEN,SPEAK
PA6,Slate sources for decoration,708,1,"The query ""Slate sources for decoration"" is vague and general. It does not specify what type of sources are being referred to (e.g.",1.0,2.0,1.0,2.0,1.0,6.0,LISTEN,SPEAK,256.0,1.0,2.0,1.0,2.0,1.0,6.0,LISTEN,TYPE,256.0,1.0,2.0,1.0,2.0,1.0,6.0,LISTEN,TYPE
PA7,Where can i find slate stone for decorative use?,708,2,The query is moderately specific because it inquires about a particular type of stone (slate) and its intended use (decorative),3.0,4.0,1.0,4.0,3.0,8.0,READ,SPEAK,257.0,3.0,4.0,1.0,4.0,3.0,8.0,READ,TYPE,257.0,3.0,4.0,1.0,4.0,3.0,8.0,READ,TYPE
PA8,From which country can we commonly find slate stone?,708,2,The query is moderately specific as it asks about a particular type of stone (slate) and its common geographic origin. However,1.0,3.0,2.0,5.0,2.0,9.0,LISTEN,SPEAK,258.0,1.0,3.0,2.0,5.0,2.0,9.0,LISTEN,TYPE,258.0,1.0,3.0,2.0,5.0,2.0,9.0,LISTEN,TYPE
PA9,how slate stones are used to create household decorations,708,2,The query is moderately specific as it pertains to a particular material (slate stones) and their application (household decorations). However,2.0,2.0,3.0,5.0,1.0,8.0,LISTEN,SPEAK,259.0,2.0,2.0,3.0,5.0,1.0,8.0,LISTEN,TYPE,259.0,2.0,2.0,3.0,5.0,1.0,8.0,LISTEN,TYPE
PA5,How is slate stone made and used,708,2,The query asks about both the process of making slate stone and its uses,1.0,3.0,4.0,4.0,1.0,2.0,LISTEN,SPEAK,261.0,1.0,3.0,4.0,4.0,1.0,2.0,LISTEN,TYPE,261.0,1.0,3.0,4.0,4.0,1.0,2.0,LISTEN,TYPE
PA11,"What are the sources of slate stone for decorative use, and how is it obtained?",708,2,The query is moderately specific as it asks for sources of slate stone specifically for decorative use,1.0,3.0,4.0,5.0,2.0,6.0,LISTEN,SPEAK,262.0,1.0,3.0,4.0,5.0,2.0,6.0,LISTEN,TYPE,262.0,1.0,3.0,4.0,5.0,2.0,6.0,LISTEN,TYPE
