PID,query,topic,"1.Is the query have a clear, objective answer?                   (Yes—>jump to question 2, No/not sure—>Non-specific)",2.Does the query require exhaustively listing all valid propositions?                              (Yes—>jump to 4. No/not sure   —>jump to 3. ),"3.Is it a single/unique answer? (Yes—> Specific, No/not sure    —>jump to 5.)","4.Is the answer set bounded?(Yes —> Specific, No/not sure  —> Non-specific)_x","5.Does the answer suffice to satisfy without requiring exhaustivity?                            (Yes—> Specific, No/not sure   —>Non-specific.)",specificity_1,"1.Does the query have a clear, objective answer?(Yesâ€”>jump to question 2, No/not sureâ€”>Non-specific)",2.Does the query require exhaustively listing all valid propositions?(Yesâ€”>jump to 4. No/not surâ€”>jump to 3. ),"3.Is it a single/unique answer? (Yesâ€”> Specific, No/not sureâ€”>jump to 5.)","4.Is the answer set bounded?(Yesâ€”> Specific, No/not sureâ€”>Non-specific)","5.Does the answer suffice to be useful and not misleading without requiring exhaustivity?(Yesâ€”> Specific, No/not sureâ€”>Non-specific.)",specificity_2,"1.Is the query have a clear, objective answer?(Yes—>jump to question 2, No/not sure—>Non-specific)",2.Does the query require exhaustively listing all valid propositions?(Yes—>jump to 4. No/not sure—>jump to 3. ),"3.Is it a single/unique answer? (Yes—> Specific, No/not sure—>jump to 5.)","4.Is the answer set bounded?(Yes —> Specific, No/not sure  —> Non-specific)_y","5.Does the answer suffice to be useful without requiring exhaustivity?(Yes—> Specific, No/not sure—>Non-specific.)",specificity_3,Specificity Level,full_agreement
PA3,What are the Greek stoics? What is its historic significance?,433,Yes,No,No,,Unsure,1,n,,,,,1,Y,N,N,,N,1,1,True
PA29,What is antracia exploration?,353,Yes,No,No,,No,1,n,,,,,1,Yes,No,No,,No,1,1,True
PA29,What are the orcian remote sensing methods?,355,Yes,No,No,,Unsure,1,n,,,,,1,Yes,No,No,,Not sure,1,1,True
PA29,What are the methods use to safe train station?,711,yes,No,No,,Unsure,1,y,y,y,n,,1,Y,N,N,,N,1,1,True
PA29,Provide more info about greek philosophy,433,Yes,No,No,,No,1,n,,,,,1,N,,,,,1,1,True
PA11,"What are the sources of slate stone for decorative use, and how is it obtained?",708,Yes,No,No,,Yes,2,y,n,n,,y,2,Y,N,,,Y,2,2,True
PA32,low white blood cell count,725,No,,,,,1,n,,,,,1,Y,N,N,,N,1,1,True
PA32,ship losses due to weather,448,No,,,,,1,n,,,,,1,N,,,,,1,1,True
PA32,stoic plays theatre,433,Yes,No,No,,No,1,n,,,,,1,N,,,,,1,1,True
PA8,Is climate change a heated topic under explorations?,353,Yes,No,No,,Unsure,1,n,,,,,1,Yes ,No,No,,Not sure,1,1,True
PA9,What is the current status of the Three Gorges Dam project?,416,Yes,Yes,,,,2,y,y,y,,,2,Y,N,Y,,,2,2,True
PA9,What are the safety measures taken at train stations,711,Yes,No,No,,Unsure,1,n,,,,,1,Y,N,N,,N,1,1,True
PA9,What are the recent Greek plays?,433,yes,No,No,,Unsure,1,n,,,,,1,Y,N,N,,N,1,1,True
PA9,What are the health benefits of marine vegetation?,314,Yes,No,No,,Unsure,1,y,y,n,,,1,Yes,No,No,,Not sure,1,1,True
PA9,What are the current scientific projects in Antarctica?,353,Yes,No,No,,Yes,2,y,y,y,,,2,Yes,No,No,,Yes,2,2,True
PA8,What are proved health benefits of marine vegetation diets?,314,Yes,No,No,,Yes,2,y,n,n,y,,2,Yes,No,No,,,2,2,True
PA8,How does a ship loses its navigation function in sea?,448,Yes,No,No,,Unsure,1,n,,,,,1,Y,N,N,,N,1,1,True
PA32,train station security,711,yes,No,No,,No,1,n,,,,,1,Y,N,N,,N,1,1,True
PA8,From which country can we commonly find slate stone?,708,Yes,No,No,,Yes,2,y,y,y,y,,2,Y,,,,,2,2,True
PA6,Train station security procedures,711,Yes,No,No,,Unsure,1,n,,,,,1,Y,N,N,,N,1,1,True
PA6,Three Gorges Dam Yangze River cruise,416,No,,,,,1,n,,,,,1,N,,,,,1,1,True
PA4,security measures in train stations,711,Yes,No,No,,Unsure,1,n,,,,,1,Y,N,N,,N,1,1,True
PA4,innovative uses of algae,314,Yes,No,No,,No,1,n,,,,,1,No,,,,,1,1,True
PA4,Transport Ship wrecks due to weather,448,No,,,,,1,n,,,,,1,N,,,,,1,1,True
PA27,How many ships are lost at sea due to bad weather,448,Yes,Unsure,yes,,,2,y,n,y,,,2,Y,N,N,,Y,2,2,True
PA29,How long it take to frieter ship registration,743,Yes,No,No,,Unsure,1,n,,,,,1,Y,N,N,,N,1,1,True
PA22,How long did it take to build the Three Gorges Dam?,416,Yes,No,Yes,,,2,y,y,y,,,2,Y,N,Y,,,2,2,True
PA13,What makes the marine vegetation so beneficial for human health? ,314,Yes,No,No,,Unsure,1,n,,,,,1,Yes,No,No,,No,1,1,True
PA13,What documents do I need to apply for a registration?,743,Yes,No,No,,No,1,n,,,,,1,Y,N,N,,N,1,1,True
PA18,Is there any artistic productions or projects related with Greek philosophy of Sotoism been doing? ,433,Yes,No,Unsure,,Unsure,1,n,,,,,1,Y,N,N,,N,1,1,True
PA18,what companies are involved in conducting the Undersea Fiber Optic Cable ?,320,Yes,No,No,,Yes,2,y,y,y,,,2, Yes,Not sure,No,,Yes,2,2,True
PA18,why it is needed to explore The Three Gorges Dam Project?,416,Yes,No,No,,Unsure,1,n,,,,,1,Y,N,N,,N,1,1,True
PA27,Current events related to Greek philosophy,433,Yes,No,No,,Unsure,1,n,,,,,1,Y,N,N,,N,1,1,True
PA2,The security measures for train station,711,Yes,No,No,,Unsure,1,n,,,,,1,Y,N,N,,N,1,1,True
PA13,How long does it take to complete the construction of the undersea fiber optic cable?,320,Yes,No,No,,Unsure,1,n,,,,,1,Yes,No,No,,Yes,1,1,True
PA13,How does the bad weathers contribute to the shipping losses?,448,Yes,No,No,,No,1,y,y,y,n,,1,Y,N,N,,N,1,1,True
PA21,What does the secruity measures include?,711,yes,No,No,,Unsure,1,n,,,,,1,Y,N,N,,N,1,1,True
PA21,Which technique is required in this undersea optical fiber project?,320,Yes,No,No,,No,1,n,,,,,1,Yes,No,No,,Not sure,1,1,True
PA21,Whta has been developed in ocean remote sensing field?,355,Yes,No,No,,Unsure,1,n,,,,,1,Yes,No,No,,Not sure,1,1,True
PA13,Where is the main source of the slate stones?,708,Yes,Unsure,Unsure,,yes,2,y,y,y,,,2,Y,N,Y,,,2,2,True
PA12,Who are greeks,433,Yes,No,No,,No,1,n,,,,,1,Y,N,N,,N,1,1,True
PA12,Which city of India connected with fiber optic via ocean,320,Yes,No,No,,Yes,2,y,y,y,,,2,Yes,No,Yes,,,2,2,True
PA12,What is the price of the stone,708,Yes,No,No,,No,1,n,,,,,1,Y,N,N,,N,1,1,True
PA12,Tell me more about this,743,No,,,,,1,n,,,,,1,N,,,,,1,1,True
PA26,greek plays,433,Yes,No,No,,No,1,n,,,,,1,N,,,,,1,1,True
PA12,How to find lost ships,448,Yes,No,No,,Unsure,1,y,y,n,,,1,Y,N,N,,N,1,1,True
PA26,slate stone for decoration,708,Yes,No,No,,No,1,n,,,,,1,N,,,,,1,1,True
PA11,Whether does Greek stoic play and artistic productions are taking place or being planned?,433,Yes,No,No,,Unsure,1,n,,,,,1,Y,N,N,,N,1,1,True
PA13,How can the satellites monitor the ocean from above? ,355,Yes,No,No,,No,1,y,n,n,y,,2,Yes,No,No,,Not sure,1,1,False
PA8,At what stage do we expect the Three Georges Dam project to be in? ,416,Yes,No,No,,Yes,2,n,,,,,1,Y,N,N,,N,1,1,False
PA8,What is the most recent policy for shipping industry?,743,Yes,Yes,,Yes,,2,y,y,y,,,2,Y,N,N,,N,1,2,False
PA6,Slate sources for decoration,708,Yes,No,No,,No,1,y,y,n,,y,2,N,N,N,,N,1,1,False
PA11,What's being developed in ocean remote sensing and how is it being used?,355,Yes,No,No,,Yes,2,n,,,,,1,Yes,No,No,,Yes,2,2,False
PA11,What can cause low white blood cell count?,725,Yes,No,No,,Yes,2,y,y,n,,,1,Y,N,N,,Y,2,2,False
PA27,Decorative slate stone for a new house,708,Yes,No,No,,Yes,2,n,,,,,1,N,,,,,1,1,False
PA2,How to obtain decorative stone,708,Yes,No,No,,Unsure,1,y,n,y,,,2,Y,N,N,,N,1,1,False
PA4,Low white blood cell count causes,725,Yes,No,No,,Yes,2,y,y,n,,,1,Y,N,N,,N,1,1,False
PA21,Is there any ship loss instances that were mainly caused by bad weather?,448,Yes,No,Unsure,,Unsure,1,y,n,y,,,2,Y,N,Y,,,2,2,False
PA31,low white blood cell count medical condition,725,Yes,No,No,,No,1,n,,,,,1,Y,N,Y,,,2,1,False
PA31,is eating seaweed good for health,314,Yes,No,No,,Unsure,1,y,n,y,,,2,Yes,No,No,,Not sure,1,1,False
PA30,what is three gorges dam project,416,Yes,No,No,,Unsure,1,y,y,y,,,2,Y,N,Y,,N,2,2,False
PA22,How long does it take to obtain registration for a freight ship?,743,yes,No,No,,Yes,2,n,,,,,1,Y,N,N,,N,1,1,False
PA22,I slate stone more expensive than marble?,708,Yes,No,No,,No,1,y,y,y,,,2,Y,N,N,,N,1,1,False
PA22,Which type of scientific experiments are conducted in Antarctica?,353,Yes,No,No,,Unsure,1,y,n,n,y,,2,Yes,No,No,,Not sure,1,1,False
PA22,Who is the founder of Stoicism?,433,Yes,Yes,,,,2,y,n,y,,,1,Y,N,Y,,,2,2,False
PA26,can you recycle car tires,419,Yes,No,No,,No,1,y,y,y,,,2,Y,N,N,,,1,1,False
PA29,What are the risk to used recycled tires ?,419,yes,No,No,,Unsure,1,y,y,n,,y,2,Y,N,N,,N,1,1,False
PA26,is eating seaplants healthy,314,Yes,No,No,,Unsure,1,y,n,y,,,2,Yes,No,No,,No,1,1,False
PA26,symptoms with low white blood cell count,725,Yes,No,No,,No,1,y,y,,y,,2,Y,N,N,,N,1,1,False
PA27,Is travelling by train safe?,711,Yes,No,No,,No,1,y,y,y,,,2,N,,,,,1,1,False
PA27,How ocean remote sensing works?,355,Yes,No,No,,Unsure,1,y,n,y,,,2,Yes,No,Not sure,,No,1,1,False
PA9,how slate stones are used to create household decorations,708,yes,No,No,,Yes,2,n,,,,,1,Y,N,N,,Y,2,2,False
